;                     2000 1112
;                     3257 1470
;                  S  |||| ||||
;                  E  0001 1122
;                  Q  2571 4703


FPX ZHU LRD  AFW  01  0000 0100  1.0 1234567  JUS 6301  MD88 442 370 LRD..SAT.J131.JUMBO..FOSSL./.AFW

FPX ZHU MAF  AUS  01  0000 1000  1.0 1234567  SKW 4058  E75L 418 290 MAF..SJT..DILLO.LAIKS0.AUS
FPX ZHU OKC  AUS  01  0000 0100  1.0 1234567  SWA 4423  B737 462 350 OKC./.BROBB..WINDU.SEWZY0.AUS
FPX ZHU SLC  AUS  01  0001 0010  1.0 1234567  SWA 0     B737 448 390 SLC./.LBB..DILLO.LAIKS0.AUS
FPX ZHU SLC  AUS  01  0000 0001  1.0 1234567  DAL 2728  BCS3 443 350 SLC./.LBB..DILLO.LAIKS0.AUS
FPX ZHU SLC  AUS  01  0000 0100  1.0 1234567  DAL 2671  BCS1 456 370 SLC./.LBB..DILLO.LAIKS0.AUS
FPX ZHU SLC  AUS  01  0001 0000  1.0 1234567  DAL 864   A319 451 370 SLC./.LBB..DILLO.LAIKS0.AUS

FPX ZHU AUS  BNA  01  0001 0100  1.0 1234567  SKW 0     E75L 444 390 AUS.ILEXY0.ZENZI..LFK..ELD.J29.MEM./.BNA
FPX ZHU AUS  BNA  01  0001 0000  1.0 1234567  ENY 0     E170 410 350 AUS.ILEXY0.ZENZI..LFK..KISTS./.BNA
FPX ZHU BCT  BTR  01  0000 0100  0.5 1234567  N   501HK BE20 273 240 BCT./.REMIS..VELEZ..HRV..RQR..BTR

FPX ZHU JQF  DWH  01  0000 0100  0.3 1234567  N   699MW LJ45 446 430 JQF./.MEI..AEX.OHIIO0.DWH

FPX ZHU MCO  IAH  01  0001 0000  1.0 1234567  FFT 3469  A20N 447 380 MCO./.REMIS.Y280.LEV.LINKK0.IAH
FPX ZHU MCO  IAH  01  0010 0000  1.0 1234567  NKS 1374  A20N 451 380 MCO./.REMIS.Y280.LEV.LINKK0.IAH
FPX ZHU MCO  IAH  01  0000 1000  1.0 1234567  SWA 3469  B737 460 360 MCO./.REMIS.Y280.LEV.LINKK0.IAH
FPX ZHU SAN  IAH  01  0000 1000  1.0 1234567  NKS 959   A320 457 350 SAN./.ELP.J183.PEQ..DIESL.GUSHR0.IAH

FPX ZHU ERV  IWS  01  0000 0100  1.0 1234567  N   886TX BE20 290 230 ERV..SAT.T256.WEMAR..BELLR.TSHRT0.IWS

FPX ZHU MCO  LAX  01  0000 0001  1.0 1234567  JBU 131   A320 462 340 MCO./.REMIS.Y280.LEV..DAS..TNV..LLO.J183.FUSCO..EWM./.LAX
FPX ZHU MSY  LAX  01  0000 1000  1.0 1234567  NKS 0     A20N 452 360 MSY.RV1.LFT..LCH.J86.ELP./.LAX
FPX ZHU TPA  LAX  01  0000 0001  1.0 1234567  UAL 0     B739 456 360 TPA./.REMIS.Y280.LEV..KCEEE..TKNIQ..MOLLR..JCT.J86.ELP./.LAX

FPX ZHU MQY  LRD  01  0000 1000  0.5 1234567  DVY 419   SF34 273 240 MQY./.GLH..LFK..LRD
